,x,y,z
465,4.42,-7.983333333,5.126666667
466,4.613333333,-7.34,4.366666667
467,4.743333333,-7.863333333,5.023333333
468,5.28,-8.523333333,4.62
469,4.996666667,-8.48,5.043333333
470,4.373333333,-7.933333333,4.863333333
471,4.03,-7.48,4.586666667
472,4.206666667,-8.186666667,5.013333333
473,4.79,-8.44,4.84
474,4.836666667,-7.996666667,4.446666667
475,4.593333333,-7.386666667,4.596666667
476,4.413333333,-7.873333333,4.613333333
477,4.476666667,-8.543333333,5.366666667
478,4.396666667,-8.583333333,5.4
479,4.196666667,-7.57,4.85
480,4.003333333,-7.583333333,5
481,4.213333333,-8.236666667,4.756666667
482,4.746666667,-8.806666667,5.16
483,4.606666667,-8.556666667,5.19
484,4.523333333,-7.543333333,4.533333333
485,3.946666667,-7.506666667,5.113333333
486,4.223333333,-7.93,5.053333333
487,4.33,-8.65,5.503333333
488,4.373333333,-8.55,5.426666667
489,4.373333333,-7.573333333,4.713333333
490,4.346666667,-7.26,5.573333333
491,4.74,-7.73,5.186666667
492,5.07,-8.303333333,5.72
493,5.323333333,-7.876666667,5.053333333
494,5.38,-7.093333333,4.673333333
495,4.996666667,-7.256666667,5.243333333
496,4.85,-8.036666667,5.366666667
497,4.506666667,-8.123333333,5.426666667
498,4.38,-7.71,5.086666667
499,4.223333333,-7.63,4.8
500,4.45,-8.196666667,5.39
501,4.633333333,-8.53,5.293333333
502,4.586666667,-7.743333333,4.95
503,4.276666667,-7.453333333,4.843333333
504,4.393333333,-7.626666667,4.8
505,4.573333333,-8.143333333,5.283333333
506,4.703333333,-7.893333333,5.3
507,4.573333333,-7.39,4.716666667
508,4.51,-7.593333333,4.986666667
509,4.673333333,-8.246666667,4.833333333
510,4.683333333,-8.106666667,5.146666667
511,4.55,-7.74,5.026666667
512,4.43,-7.45,4.726666667
513,4.466666667,-8.193333333,5.18
514,4.526666667,-8.536666667,5.193333333
515,4.603333333,-7.943333333,4.933333333
516,4.243333333,-7.246666667,5.026666667
517,4.293333333,-7.363333333,4.89
518,4.6,-8.05,6.07
519,4.783333333,-8.496666667,6.393333333
520,4.483333333,-7.61,6.196666667
521,3.706666667,-7.063333333,6.16
522,3.313333333,-6.483333333,6.18
523,3.223333333,-6.496666667,6.333333333
524,3.45,-6.37,6.323333333
525,3.656666667,-6.796666667,5.883333333
526,3.603333333,-7.083333333,5.826666667
527,3.213333333,-7.23,5.98
528,3.086666667,-7.156666667,6.406666667
529,3.216666667,-7.16,7.08
530,3.28,-7.136666667,6.996666667
531,2.366666667,-7.023333333,7.986666667
532,2.616666667,-6.606666667,7.476666667
533,1.99,-6.463333333,8.086666667
534,2.79,-6.61,7.03
535,2.433333333,-7.14,7.85
536,3.21,-7.5,7.13
537,3.266666667,-6.83,6.566666667
538,3.283333333,-6.736666667,6.66
539,3.123333333,-6.98,7.166666667
540,3.196666667,-7,7.883333333
541,3.016666667,-6.76,7.623333333
542,3.59,-6.37,6.553333333
543,3.9,-6.96,6.416666667
544,3.883333333,-7.05,6.326666667
545,3.306666667,-6.816666667,6.34
546,2.906666667,-6.956666667,6.46
547,2.966666667,-7.256666667,6.603333333
548,3.273333333,-7.403333333,6.576666667
549,3.296666667,-7.15,6.596666667
550,3.443333333,-6.793333333,6.466666667
551,3.57,-6.856666667,7.303333333
552,3.976666667,-6.7,7.053333333
553,3.98,-6.903333333,6.88
554,3.806666667,-6.64,6.7
555,3.816666667,-6.656666667,6.14
556,3.953333333,-6.87,6.29
557,4.126666667,-7.386666667,5.936666667
558,4.09,-7.283333333,5.726666667
559,4.143333333,-7.013333333,5.656666667
560,4.126666667,-7.233333333,5.213333333
561,4.09,-7.89,5.72
562,4.04,-8.163333333,5.29
563,4.006666667,-7.413333333,4.976666667
564,3.85,-7.01,5.316666667
565,4.066666667,-7.096666667,5.26
566,4.43,-7.273333333,6.346666667
567,4.503333333,-6.993333333,6.356666667
568,4.47,-6.336666667,6.256666667
569,3.93,-6.726666667,6.456666667
570,3.953333333,-7.463333333,6.173333333
571,3.886666667,-8.06,6.47
572,3.84,-7.893333333,6.113333333
573,3.633333333,-7.163333333,5.543333333
574,3.526666667,-7.176666667,5.936666667
575,3.906666667,-7.603333333,5.726666667
576,4.556666667,-8.006666667,6.02
577,4.763333333,-7.703333333,5.626666667
578,4.713333333,-7.193333333,5.236666667
579,4.403333333,-7.45,5.686666667
580,4.33,-7.88,5.76
581,4.396666667,-7.646666667,5.57
582,4.143333333,-7.256666667,5.56
583,4.016666667,-6.983333333,4.856666667
584,3.663333333,-7.61,5.576666667
585,3.856666667,-8.3,5.436666667
586,3.973333333,-8.486666667,5.97
587,3.8,-8.33,6.133333333
588,3.68,-7.24,5.386666667
589,3.443333333,-7.186666667,5.67
590,3.766666667,-7.653333333,5.423333333
591,4.023333333,-8.566666667,6.216666667
592,4.103333333,-8.573333333,6.413333333
593,4.196666667,-7.49,5.8
594,3.643333333,-7.146666667,6.023333333
595,3.79,-7.29,5.306666667
596,3.84,-8.16,6.05
597,4.14,-8.64,5.696666667
598,4.19,-8.093333333,5.64
599,3.606666667,-7.753333333,5.763333333
600,3.543333333,-7.243333333,5.163333333
