x,y,z
3.32,-7.756666667,5.363333333
3.196666667,-6.966666667,6.163333333
2.903333333,-6.83,5.156666667
2.996666667,-7.08,6.653333333
3.21,-7.953333333,6.36
3.496666667,-8.286666667,6.803333333
3.246666667,-7.966666667,6.556666667
3.26,-7.383333333,5.673333333
3.236666667,-6.766666667,6.306666667
3.336666667,-7.513333333,5.736666667
3.396666667,-7.973333333,6.703333333
3.286666667,-8.596666667,6.696666667
3.476666667,-7.656666667,6.366666667
3.216666667,-6.906666667,6.676666667
3.15,-6.636666667,5.63
2.996666667,-7.133333333,6.73
3.453333333,-8.146666667,6.263333333
3.753333333,-8.256666667,6.893333333
3.7,-7.843333333,6.713333333
3.136666667,-7.146666667,5.933333333
2.526666667,-6.866666667,6.353333333
2.68,-7.953333333,6.18
2.823333333,-8.13,7.193333333
3.266666667,-8.653333333,7.176666667
3.133333333,-7.62,6.113333333
3.13,-7.283333333,6.406666667
3.053333333,-7.15,5.703333333
3.18,-8.026666667,7.363333333
3.29,-9.16,7.366666667
3.353333333,-9.373333333,7.473333333
2.91,-8.75,7.12
2.716666667,-7.53,5.43
2.476666667,-6.706666667,6.016666667
2.833333333,-7.336666667,4.973333333
3.096666667,-8.186666667,6.72
3.266666667,-8.893333333,6.686666667
3.313333333,-8.83,7.036666667
2.986666667,-8.023333333,6.883333333
2.77,-7.423333333,5.706666667
2.3,-7.08,6.29
2.723333333,-7.906666667,5.673333333
2.673333333,-8.093333333,6.406666667
2.856666667,-7.89,6.066666667
2.63,-7.613333333,6.17
2.753333333,-7.746666667,6.123333333
2.613333333,-7.893333333,6.116666667
2.63,-7.456666667,5.836666667
2.626666667,-7.62,6.18
3.116666667,-7.923333333,6.313333333
3.0,-7.69,6.15
2.836666667,-7.15,6.12
2.613333333,-6.993333333,5.833333333
2.57,-7.853333333,6.486666667
2.823333333,-7.946666667,6.566666667
2.903333333,-7.463333333,6.103333333
2.866666667,-7.29,6.156666667
2.616666667,-7.96,6.066666667
2.556666667,-7.85,6.11
2.433333333,-7.466666667,6.173333333
2.56,-7.536666667,6.016666667
2.383333333,-8.216666667,6.65
2.506666667,-8.08,6.466666667
2.473333333,-7.563333333,6.313333333
2.776666667,-7.566666667,6.633333333
2.73,-8.103333333,6.793333333
2.843333333,-7.7,6.296666667
2.463333333,-7.793333333,5.94
2.806666667,-8.196666667,6.026666667
2.763333333,-8.446666667,6.34
2.943333333,-7.993333333,6.233333333
2.833333333,-7.8,5.716666667
3.023333333,-8.27,6.04
2.87,-8.423333333,6.153333333
2.78,-7.693333333,5.843333333
2.313333333,-7.89,5.92
2.763333333,-8.486666667,6.053333333
2.993333333,-8.603333333,5.953333333
3.253333333,-7.936666667,5.896666667
3.056666667,-7.743333333,5.473333333
2.88,-8.4,6.053333333
2.86,-8.603333333,5.863333333
2.78,-7.9,5.776666667
2.833333333,-7.87,6.153333333
2.916666667,-8.396666667,6.33
3.013333333,-8.29,6.07
2.916666667,-7.986666667,5.58
2.91,-8.05,5.3
2.886666667,-8.66,5.75
2.76,-8.456666667,5.79
2.726666667,-7.69,5.49
2.613333333,-7.613333333,5.593333333
2.893333333,-8.303333333,5.496666667
2.913333333,-8.81,6.073333333
3.076666667,-9.13,5.913333333
2.983333333,-8.873333333,5.94
3.09,-9.306666667,5.866666667
3.156666667,-8.713333333,5.78
3.116666667,-8.243333333,6.123333333
2.953333333,-7.283333333,5.553333333
2.996666667,-7.87,6.02
3.196666667,-8.363333333,5.94
3.333333333,-8.116666667,6.146666667
3.11,-7.636666667,6.046666667
3.17,-7.363333333,5.51
3.306666667,-8.276666667,5.783333333
3.633333333,-8.533333333,5.773333333
3.416666667,-7.95,5.696666667
3.283333333,-7.43,6.07
3.08,-7.746666667,6.0
3.556666667,-8.463333333,6.286666667
3.7,-8.4,5.97
3.806666667,-7.363333333,5.233333333
3.68,-7.65,4.886666667
3.723333333,-8.516666667,4.653333333
3.786666667,-8.483333333,5.126666667
3.546666667,-7.893333333,5.31
3.4,-7.693333333,4.973333333
3.33,-8.386666667,5.133333333
3.26,-8.373333333,5.436666667
3.143333333,-7.693333333,5.506666667
3.193333333,-7.913333333,5.63
3.3,-8.29,5.57
3.5,-8.02,5.506666667
3.476666667,-7.603333333,5.413333333
3.33,-7.9,5.196666667
3.473333333,-8.35,6.016666667
3.306666667,-8.383333333,5.926666667
3.393333333,-7.526666667,5.703333333
3.063333333,-7.75,5.603333333
3.21,-8.453333333,5.436666667
3.196666667,-8.8,5.476666667
3.153333333,-8.5,5.003333333
3.04,-8.136666667,5.123333333
2.823333333,-8.586666667,5.726666667
3.05,-8.586666667,6.2
3.136666667,-7.873333333,5.64
3.736666667,-7.236666667,5.96
4.143333333,-7.726666667,5.476666667
4.276666667,-7.543333333,5.963333333
4.053333333,-7.463333333,5.61
3.576666667,-7.44,5.863333333
3.436666667,-8.236666667,5.913333333
3.483333333,-8.236666667,5.706666667
3.516666667,-7.9,5.363333333
3.756666667,-7.853333333,5.65
3.796666667,-8.07,5.493333333
3.746666667,-7.736666667,5.5
3.693333333,-7.863333333,5.29
3.656666667,-8.0,5.336666667
3.8,-7.796666667,4.996666667
3.62,-7.763333333,4.943333333
3.6,-8.46,5.223333333
3.523333333,-8.726666667,5.793333333
3.363333333,-8.126666667,6.07
3.243333333,-7.483333333,5.683333333
3.556666667,-8.01,6.08
3.903333333,-8.446666667,5.78
3.91,-7.716666667,5.65
3.75,-7.493333333,5.696666667
3.5,-8.06,5.493333333
3.566666667,-8.2,5.443333333
3.42,-8.013333333,5.013333333
3.473333333,-7.743333333,4.923333333
3.536666667,-8.66,5.423333333
3.486666667,-8.636666667,5.496666667
3.453333333,-8.02,5.326666667
3.446666667,-8.003333333,5.356666667
3.503333333,-8.563333333,5.13
3.663333333,-8.333333333,4.9
3.263333333,-7.853333333,4.773333333
3.266666667,-7.736666667,4.903333333
3.4,-8.456666667,5.686666667
3.553333333,-8.436666667,5.65
3.383333333,-7.696666667,5.076666667
3.286666667,-7.976666667,5.276666667
3.316666667,-8.573333333,5.273333333
3.436666667,-8.706666667,5.34
3.143333333,-8.17,5.126666667
3.443333333,-8.193333333,4.856666667
3.566666667,-8.886666667,5.026666667
3.553333333,-8.886666667,4.93
3.403333333,-7.98,4.68
3.346666667,-8.043333333,5.08
