,x,y,z
0,-8.24,-2.75,-4.16
1,-8.24,-2.75,-4.153333333333333
2,-8.24,-2.7466666666666666,-4.156666666666667
3,-8.24,-2.7466666666666666,-4.153333333333333
4,-8.236666666666666,-2.7433333333333336,-4.1499999999999995
5,-8.233333333333333,-2.7433333333333336,-4.1433333333333335
6,-8.23,-2.733333333333334,-4.1433333333333335
7,-8.23,-2.736666666666667,-4.1499999999999995
8,-8.23,-2.74,-4.1499999999999995
9,-8.233333333333334,-2.7466666666666666,-4.15
10,-8.236666666666666,-2.74,-4.1466666666666665
11,-8.24,-2.733333333333334,-4.146666666666667
12,-8.24,-2.733333333333333,-4.1499999999999995
13,-8.236666666666666,-2.736666666666667,-4.15
14,-8.24,-2.74,-4.153333333333333
15,-8.236666666666666,-2.74,-4.146666666666667
16,-8.236666666666666,-2.736666666666667,-4.1433333333333335
17,-8.23,-2.733333333333334,-4.1433333333333335
18,-8.233333333333334,-2.733333333333333,-4.1433333333333335
19,-8.236666666666666,-2.736666666666667,-4.1466666666666665
20,-8.24,-2.74,-4.1466666666666665
21,-8.24,-2.736666666666667,-4.15
22,-8.236666666666666,-2.733333333333334,-4.153333333333333
23,-8.233333333333333,-2.73,-4.153333333333333
24,-8.23,-2.733333333333333,-4.153333333333333
25,-8.23,-2.736666666666667,-4.15
26,-8.23,-2.74,-4.15
27,-8.233333333333334,-2.74,-4.153333333333333
28,-8.236666666666666,-2.733333333333334,-4.156666666666667
29,-8.236666666666666,-2.733333333333334,-4.163333333333333
30,-8.236666666666666,-2.733333333333334,-4.156666666666666
31,-8.233333333333333,-2.74,-4.156666666666666
32,-8.236666666666666,-2.74,-4.153333333333333
33,-8.236666666666666,-2.74,-4.153333333333333
34,-8.236666666666666,-2.736666666666667,-4.15
35,-8.233333333333333,-2.736666666666667,-4.1466666666666665
36,-8.23,-2.7433333333333336,-4.1433333333333335
37,-8.233333333333334,-2.74,-4.1433333333333335
38,-8.236666666666666,-2.74,-4.146666666666667
39,-8.24,-2.736666666666667,-4.153333333333333
40,-8.24,-2.74,-4.153333333333333
41,-8.24,-2.733333333333334,-4.15
42,-8.24,-2.7266666666666666,-4.15
43,-8.236666666666666,-2.7266666666666666,-4.156666666666667
44,-8.236666666666666,-2.733333333333333,-4.163333333333333
45,-8.233333333333333,-2.736666666666667,-4.16
46,-8.233333333333333,-2.736666666666667,-4.159999999999999
47,-8.23,-2.733333333333334,-4.153333333333333
48,-8.233333333333334,-2.73,-4.156666666666667
49,-8.24,-2.73,-4.146666666666667
50,-8.243333333333334,-2.7266666666666666,-4.1499999999999995
51,-8.243333333333334,-2.733333333333333,-4.153333333333333
52,-8.24,-2.736666666666667,-4.156666666666667
53,-8.236666666666666,-2.74,-4.16
54,-8.236666666666666,-2.74,-4.156666666666667
55,-8.236666666666666,-2.733333333333334,-4.163333333333333
56,-8.24,-2.74,-4.16
57,-8.24,-2.7300000000000004,-4.16
58,-8.24,-2.7300000000000004,-4.156666666666667
59,-8.236666666666666,-2.716666666666667,-4.153333333333333
60,-8.229999999999999,-2.72,-4.156666666666667
61,-8.230000000000002,-2.73,-4.153333333333333
62,-8.233333333333334,-2.7433333333333336,-4.153333333333333
63,-8.24,-2.7466666666666666,-4.16
64,-8.236666666666666,-2.7466666666666666,-4.16
65,-8.236666666666666,-2.7466666666666666,-4.163333333333333
66,-8.236666666666666,-2.7466666666666666,-4.153333333333333
67,-8.233333333333334,-2.7433333333333336,-4.163333333333333
68,-8.233333333333334,-2.736666666666667,-4.163333333333333
69,-8.233333333333334,-2.736666666666667,-4.163333333333333
70,-8.24,-2.736666666666667,-4.16
71,-8.236666666666666,-2.736666666666667,-4.16
72,-8.233333333333333,-2.736666666666667,-4.166666666666667
73,-8.233333333333334,-2.7300000000000004,-4.16
74,-8.236666666666666,-2.733333333333334,-4.153333333333333
75,-8.236666666666666,-2.726666666666667,-4.1499999999999995
76,-8.236666666666666,-2.733333333333334,-4.156666666666667
77,-8.233333333333333,-2.733333333333334,-4.16
78,-8.236666666666666,-2.736666666666667,-4.163333333333333
79,-8.233333333333333,-2.736666666666667,-4.153333333333333
80,-8.236666666666666,-2.736666666666667,-4.153333333333333
81,-8.236666666666666,-2.736666666666667,-4.1499999999999995
82,-8.236666666666666,-2.736666666666667,-4.156666666666667
83,-8.233333333333333,-2.733333333333334,-4.16
84,-8.23,-2.736666666666667,-4.16
85,-8.23,-2.733333333333334,-4.156666666666667
86,-8.236666666666666,-2.736666666666667,-4.16
87,-8.236666666666666,-2.736666666666667,-4.156666666666667
88,-8.24,-2.736666666666667,-4.156666666666667
89,-8.236666666666666,-2.736666666666667,-4.153333333333333
90,-8.24,-2.733333333333334,-4.163333333333333
91,-8.236666666666666,-2.736666666666667,-4.166666666666667
92,-8.236666666666666,-2.736666666666667,-4.17
93,-8.233333333333333,-2.736666666666667,-4.163333333333333
94,-8.233333333333333,-2.736666666666667,-4.17
95,-8.233333333333334,-2.736666666666667,-4.166666666666667
96,-8.233333333333333,-2.736666666666667,-4.163333333333333
97,-8.233333333333333,-2.736666666666667,-4.16
98,-8.233333333333334,-2.736666666666667,-4.156666666666667
99,-8.236666666666666,-2.74,-4.163333333333333
