,x,y,z,,,,,,,,,,,,,,,,,,119.0466667,278.59,235.61
29,-1.546666667,-8.313333333,4.736666667,,,0.513333333,0.306666667,0.58,0.513333333,0.306666667,-0.58,,,,,,0.513333333,0.306666667,-0.58,,0.513333333,0.306666667,0.58
30,-1.316666667,-8.363333333,5.276666667,,,0.23,0.05,0.54,0.23,-0.05,0.54,,,,,,0.23,-0.05,0.54,,0.23,0.05,0.54
31,-0.526666667,-8.22,4.783333333,,,0.79,0.143333333,0.493333334,0.79,0.143333333,-0.493333334,,,,,,0.79,0.143333333,-0.493333334,,0.79,0.143333333,0.493333334
32,-0.526666667,-9.016666667,5.386666667,,,0,0.796666667,0.603333334,0,-0.796666667,0.603333334,,,,,,0,-0.796666667,0.603333334,,0,0.796666667,0.603333334
33,-0.176666667,-9.653333333,5.393333333,,,0.35,0.636666666,0.006666666,0.35,-0.636666666,0.006666666,,,,,,0.35,-0.636666666,0.006666666,,0.35,0.636666666,0.006666666
34,0.18,-8.796666667,5.143333333,,,0.356666667,0.856666666,0.25,0.356666667,0.856666666,-0.25,,,,,,0.356666667,0.856666666,-0.25,,0.356666667,0.856666666,0.25
35,0.083333333,-8.3,5.44,,,0.096666667,0.496666667,0.296666667,-0.096666667,0.496666667,0.296666667,,,,,,-0.096666667,0.496666667,0.296666667,,0.096666667,0.496666667,0.296666667
36,0.146666667,-8.193333333,5.253333333,,,0.063333334,0.106666667,0.186666667,0.063333334,0.106666667,-0.186666667,,,,,,0.063333334,0.106666667,-0.186666667,,0.063333334,0.106666667,0.186666667
37,0.106666667,-9.003333333,5.923333333,,,0.04,0.81,0.67,-0.04,-0.81,0.67,,,,,,-0.04,-0.81,0.67,,0.04,0.81,0.67
38,0.813333333,-9.026666667,5.963333333,,,0.706666666,0.023333334,0.04,0.706666666,-0.023333334,0.04,,,,,,0.706666666,-0.023333334,0.04,,0.706666666,0.023333334,0.04
39,1.043333333,-8.03,5.306666667,,,0.23,0.996666667,0.656666666,0.23,0.996666667,-0.656666666,,,,,,0.23,0.996666667,-0.656666666,,0.23,0.996666667,0.656666666
40,0.886666667,-7.913333333,5.716666667,,,0.156666666,0.116666667,0.41,-0.156666666,0.116666667,0.41,,,,,,-0.156666666,0.116666667,0.41,,0.156666666,0.116666667,0.41
41,0.743333333,-8.446666667,5.533333333,,,0.143333334,0.533333334,0.183333334,-0.143333334,-0.533333334,-0.183333334,,,,,,-0.143333334,-0.533333334,-0.183333334,,0.143333334,0.533333334,0.183333334
42,0.793333333,-9.073333333,5.85,,,0.05,0.626666666,0.316666667,0.05,-0.626666666,0.316666667,,,,,,0.05,-0.626666666,0.316666667,,0.05,0.626666666,0.316666667
43,0.863333333,-8.703333333,6.183333333,,,0.07,0.37,0.333333333,0.07,0.37,0.333333333,,,,,,0.07,0.37,0.333333333,,0.07,0.37,0.333333333
44,1.246666667,-7.626666667,5.313333333,,,0.383333334,1.076666666,0.87,0.383333334,1.076666666,-0.87,,,,,,0.383333334,1.076666666,-0.87,,0.383333334,1.076666666,0.87
45,1.013333333,-7.83,5.88,,,0.233333334,0.203333333,0.566666667,-0.233333334,-0.203333333,0.566666667,,,,,,-0.233333334,-0.203333333,0.566666667,,0.233333334,0.203333333,0.566666667
46,1.976666667,-8.826666667,5.233333333,,,0.963333334,0.996666667,0.646666667,0.963333334,-0.996666667,-0.646666667,,,,,,0.963333334,-0.996666667,-0.646666667,,0.963333334,0.996666667,0.646666667
47,2.2,-10.52333333,6.823333333,,,0.223333333,1.696666663,1.59,0.223333333,-1.696666663,1.59,,,,,,0.223333333,-1.696666663,1.59,,0.223333333,1.696666663,1.59
48,2.37,-10.76333333,7.393333333,,,0.17,0.24,0.57,0.17,-0.24,0.57,,,,,,0.17,-0.24,0.57,,0.17,0.24,0.57
49,1.983333333,-9.076666667,6.72,,,0.386666667,1.686666663,0.673333333,-0.386666667,1.686666663,-0.673333333,,,,,,-0.386666667,1.686666663,-0.673333333,,0.386666667,1.686666663,0.673333333
50,1.366666667,-7.76,6.4,,,0.616666666,1.316666667,0.32,-0.616666666,1.316666667,-0.32,,,,,,-0.616666666,1.316666667,-0.32,,0.616666666,1.316666667,0.32
